Clause,mainVerb,mainReferent,Gold
Message-ID: <24575622.1075863420436.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Tue, 15 May 2001 06:09:33 -0700 (PDT)",,,CANNOT_DECIDE
From: j.kaminski@enron.com,,,CANNOT_DECIDE
To: steve.leppard@enron.com,,,CANNOT_DECIDE
Subject: RE: Final Research PRC,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
"Steve,",,,CANNOT_DECIDE
It will be my pleasure.,be,Steve,STATIVE
Vince,,,CANNOT_DECIDE
-----Original Message-----,,,CANNOT_DECIDE
"From: Leppard, Steve",,,CANNOT_DECIDE
"Sent: Tuesday, May 15, 2001 4:10 AM",,,CANNOT_DECIDE
"To: Herbelot, Olivier; Lewis, Richard; Clarke, Niamh; Kaminski, Vince J",,,CANNOT_DECIDE
Subject: Final Research PRC,,,CANNOT_DECIDE
Hi all,,,CANNOT_DECIDE
The current PRC is the last,is,PRC,STATIVE
"on which I'll be assessed as a Research guy,",assessed,I,DYNAMIC
so I'd like to ask,like,Sent,STATIVE
if you'd be prepared to act as reviewers for me?,prepared,you,STATIVE
"Thanks,",,,CANNOT_DECIDE
Steve,,,CANNOT_DECIDE
