Clause,mainVerb,mainReferent,Gold
"docno=""lists-003-2121270""",,,CANNOT_DECIDE
"received=""Fri May 14 20:51:36 1993 EST""",received,docno,CANNOT_DECIDE
"sent=""Fri, 14 May 1993 20:47:02 -0700 (PDT)""",sent,,CANNOT_DECIDE
"name=""Mark Crispin""",name,sent,CANNOT_DECIDE
"email=""mrc@Ikkoku-Kan.Panda.COM""",,,CANNOT_DECIDE
"subject=""Re: CHARSET considerations""",,,CANNOT_DECIDE
"id=""MS-C.737437622.2035015474.mrc@Ikkoku-Kan.Panda.COM""",,,CANNOT_DECIDE
"inreplyto=""9305142129.AA22544@adam.MIT.EDU""",,,CANNOT_DECIDE
"To: ietf-charsets@INNOSOFT.COM, scs@adam.mit.edu",,,CANNOT_DECIDE
"Cc: TROTH@ricevm1.rice.edu, pine-info@cac.washington.edu,",,,CANNOT_DECIDE
Steve -,,,CANNOT_DECIDE
Thanks for your comments.,,,CANNOT_DECIDE
You needn't convince me;,need,You,STATIVE
I've been involved with the MIME charset issue for a long time,involved,I,STATIVE
(you'll note,note,you,DYNAMIC
that I am one of the authors of the ISO-2022-JP spec).,am,I,STATIVE
"In defense of the other Pine team members, the sin is one of omission rather than of comission;",is,sin,STATIVE
they wanted to do something about character sets,wanted,they,STATIVE
and didn't want to wire in a table of legal values,want,they,STATIVE
(since it might change).,change,it,DYNAMIC
I've suggested,suggested,I,DYNAMIC
"that as a first pass the charset should only be settable in the system config file,",be,charset,STATIVE
and that the charset always be coerced to US-ASCII,coerced,charset,DYNAMIC
unless the text contains,contains,text,STATIVE
8-bit characters and/or has ``funny'' control characters such as ESC or SI/SO.,has,and/or,STATIVE
"More work would definitely be needed in this area,",needed,work,STATIVE
but you'll appreciate,appreciate,work,STATIVE
"that there are other, higher priorities just now...",are,appreciate,STATIVE
-- Mark --,,,CANNOT_DECIDE
