Clause,mainVerb,mainReferent,Gold
"Date: Mon, 21 Aug 2000 01:00:00 -0700 (PDT)",,,CANNOT_DECIDE
From: steven.kean@enron.com,,,CANNOT_DECIDE
To: james.steffew@enron.com,,,CANNOT_DECIDE
Subject:,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
X-From: Steven J Kean X-To: james steffew X-cc: X-bcc: X-Folder: \Steven_Kean_Dec2000_1\Notes Folders\All documents X-Origin:,,,CANNOT_DECIDE
KEAN-S X-FileName: skean.,,,CANNOT_DECIDE
nsf,,,CANNOT_DECIDE
---------------------- Forwarded by Steven J Kean/NA/Enron on 08/21/2000,,,DYNAMIC
08:00 AM ---------------------------,,,CANNOT_DECIDE
From: Mark E Haedicke@ECT on 08/15/2000 01:37 PM,,,CANNOT_DECIDE
To: Steven J Kean/NA/Enron@Enron,,,CANNOT_DECIDE
cc:,,,CANNOT_DECIDE
Subject:,,,CANNOT_DECIDE
"Per our conversation on coordination of our efforts on California and other jurisdictions, we have developed the following training program:",developed,Date,DYNAMIC
1. Anti-trust -- we have completed anti-trust training in Houston for traders,completed,Anti-trust,DYNAMIC
and have scheduled it in Portland and Calgary.,scheduled,we,DYNAMIC
2. Sales Practices -- this training has been completed in Portland,completed,Practices,DYNAMIC
and is being scheduled in Houston and Calgary.,scheduled,training,DYNAMIC
"3. Anti-manipulation -- this training has been completed in Portland,",completed,Anti-manipulation,DYNAMIC
but needs to be expanded to cover local law manipulation issues.,needs,training,DYNAMIC
It also needs to be scheduled in Houston and Calgary.,needs,It,DYNAMIC
"Also, the above training needs to be supplemented with training on local power pool rules.",needs,training,DYNAMIC
There is a similar program,is,program,STATIVE
being prepared in London.,prepared,program,DYNAMIC
A meeting is being scheduled,scheduled,meeting,DYNAMIC
so we can discuss these matters further.,discuss,we,DYNAMIC
Mark Haedicke,,,CANNOT_DECIDE
