Clause,mainVerb,mainReferent,Gold
Message-ID: <19542708.1075852654573.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Wed, 20 Jun 2001 12:02:00 -0700 (PDT)",,,CANNOT_DECIDE
From: kevinscott@onlinemailbox.net,,,CANNOT_DECIDE
"To: kean.steve@enron.com, jeff.skilling@enron.com",,,CANNOT_DECIDE
Subject: Public Policy Contacts for California,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
Jeff and Steve,,,CANNOT_DECIDE
"As you requested,",requested,you,DYNAMIC
I have prepared a list of my preferred public policy contacts for California.,prepared,I,DYNAMIC
"It is composed of professionals from an array of public, private and non-profit backgrounds.",composed,It,STATIVE
I have worked in some capacity with each of these people,worked,I,DYNAMIC
and most I know quite well.,know,I,STATIVE
Please call me for further background.,call,Please,CANNOT_DECIDE
Kevin,,,CANNOT_DECIDE
213-926-2626,,,CANNOT_DECIDE
Attachment - Kevin Scott - Preferred Contacts - 6-20-01.,,,CANNOT_DECIDE
doc,,,CANNOT_DECIDE
