Clause,mainVerb,mainReferent,Gold
Message-ID: <25473912.1075863420369.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Tue, 15 May 2001 06:07:31 -0700 (PDT)",,,CANNOT_DECIDE
From: j.kaminski@enron.com,,,CANNOT_DECIDE
To: wade.cline@enron.com,,,CANNOT_DECIDE
Subject: RE: Help for Krishnarao Pinnamaneni,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
"Wade,",,,CANNOT_DECIDE
Thanks for your help.,,,CANNOT_DECIDE
Krishna advised me of the conversation,advised,Krishna,DYNAMIC
he had with you.,had,he,DYNAMIC
Vince,Vince,,CANNOT_DECIDE
-----Original Message-----,-----,Vince,CANNOT_DECIDE
"From: Cline, Wade",,,CANNOT_DECIDE
"Sent: Monday, May 14, 2001 1:37 AM",,,CANNOT_DECIDE
To: Vince.Kaminski@enron.com,,,CANNOT_DECIDE
Subject: Re: Help for Krishnarao Pinnamaneni,,,CANNOT_DECIDE
---------------------- Forwarded by Wade Cline/ENRON_DEVELOPMENT on 05/14/2001 12:04 PM ---------------------------,,,DYNAMIC
Delivery Failure Report Your document: Re: Help for Krishnarao Pinnamaneni was not delivered to: Vince J. Kaminski/ENRON@enronXgate because:,delivered,Help,DYNAMIC
"Invalid/unknown recipient [MAPI Reason Code: 1, MAPI Diagnostic Code 1]",,,CANNOT_DECIDE
What should you do?,do,you,CANNOT_DECIDE
You can resend the undeliverable document to the recipients,resend,You,DYNAMIC
listed above by choosing the Resend button or the Resend command on the Actions menu.,listed,recipients,STATIVE
Once you have resent the document,resent,you,DYNAMIC
you may delete this Delivery Failure Report.,delete,you,DYNAMIC
If resending the document is not successful,is,resending,STATIVE
you will receive a new failure report,receive,you,DYNAMIC
"Unless you receive other Delivery Failure Reports, the document was successfully delivered to all other recipients.",delivered,document,DYNAMIC
"NAHOU-MSCNX02-LME-NOTES/NA/ENRON, NAHOU-LNINT01/Enron, ENE-NS03/Enron, EI-NHUB01/ENRON_DEVELOPMENT, EI-NMUMBAI01/ENRON_DEVELOPMENT",,,CANNOT_DECIDE
________________________,,,CANNOT_DECIDE
To: Vince J. Kaminski/ENRON@enronXgate,,,CANNOT_DECIDE
cc: Pinnamaneni Krishnarao/ENRON@enronXgate,,,CANNOT_DECIDE
From: Wade Cline/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT,,,CANNOT_DECIDE
Date: 05/14/2001 12:49:39 AM CDT,,,CANNOT_DECIDE
Subject: Re: Help for Krishnarao Pinnamaneni,,,CANNOT_DECIDE
"Vince, I will certainly try.",try,NA/ENRON,DYNAMIC
I am not optimistic,am,I,STATIVE
"primarily because this is handled out of Chennai,",handled,this,STATIVE
as it must since the parents are residents of Andhra Pradesh.,are,it,STATIVE
"Our earlier requests for visas from Chennai have been a very mixed bag, with us",been,requests,STATIVE
being turned down more often than not.,turned,bag,DYNAMIC
The fact of the matter is that the visa officers in the respective consulates have incredible amounts of discretion and ability to say no.,is,fact,STATIVE
"Once they say no,",say,they,DYNAMIC
it is very difficult to reverse.,is,it,STATIVE
"But I will go through our good contacts at the US Consulate in Mumbai,",go,I,DYNAMIC
as this has had more success than us speaking directly to Chennai.,had,this,DYNAMIC
Wade,,,CANNOT_DECIDE
From: Vince J. Kaminski/ENRON@enronXgate on 05/11/2001 10:37 AM CDT,,,CANNOT_DECIDE
To: Wade Cline/ENRON_DEVELOPMENT@ENRON_DEVELOPMENT,,,CANNOT_DECIDE
"cc: Vince J. Kaminski/ENRON@enronXgate, Pinnamaneni Krishnarao/ENRON@enronXgate",,,CANNOT_DECIDE
Subject: Help for Krishnarao Pinnamaneni,Help,From,CANNOT_DECIDE
"Wade,",,,CANNOT_DECIDE
"I am writing to ask you to help my associate, Krishnarao Pinnamaneni,",writing,I,DYNAMIC
who faces a very difficult personal situation.,faces,associate,DYNAMIC
You probably remember Krishna from his visits to our Bombay office,remember,You,STATIVE
when he was helping you on a few projects.,helping,he,DYNAMIC
A brief outline of the facts.,,,CANNOT_DECIDE
1. His wife is pregnant.,is,wife,STATIVE
"She gave birth to their daughter, Pallavi, a few years ago after a very complicated pregnancy.",gave,She,DYNAMIC
Pallavi was a premature child,was,Pallavi,STATIVE
and her survival was a miracle,was,survival,STATIVE
(we all thank the Almighty for this wonderful child).,thank,we,STATIVE
Current pregnancy is also very complicated.,is,pregnancy,STATIVE
2. Krishna invited his in-laws to visit and stay with them to care for his wife.,invited,Krishna,DYNAMIC
The application for a tourist visa was denied,denied,application,DYNAMIC
and the reason given for the denial was that they had overstayed the term of the visa during the previous visit.,was,application,STATIVE
The irony is that they complied with the US laws:,complied,they,STATIVE
they had asked for an extension of the visa,asked,complied,DYNAMIC
and the extension was granted.,granted,they,DYNAMIC
"The company can, of course, intervene on Krishna's behalf.",intervene,company,DYNAMIC
Krishna made an outstanding contribution to Enron,made,Krishna,DYNAMIC
(he is currently a VP) and to the American society.,is,he,STATIVE
I am sure,am,I,STATIVE
that Ken Lay,,,CANNOT_DECIDE
would have no objections to write a letter on his behalf to the State Department.,have,Lay,STATIVE
"I would prefer, however, to try informal channels first to avoid confrontational approach.",prefer,I,STATIVE
It may be better for all the,be,It,STATIVE
involved in the long-run.,involved,the,CANNOT_DECIDE
I hope,hope,I,STATIVE
you can use your personal contacts to intervene on Krishna's behalf,use,you,DYNAMIC
and ask for a reversal of the decision on humanitarian grounds.,ask,you,DYNAMIC
I shall fax to you a copy of the decision.,fax,I,DYNAMIC
Thanks.,,,CANNOT_DECIDE
Vince,,,CANNOT_DECIDE
<< File: Krishna's Letter.,,,CANNOT_DECIDE
DOC >>,,,CANNOT_DECIDE
