Clause,mainVerb,mainReferent,Gold
Message-ID: <7553175.1075863444700.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Mon, 17 Sep 2001 21:01:37 -0700 (PDT)",,,CANNOT_DECIDE
From: wolak@zia.stanford.edu,,,CANNOT_DECIDE
To: j.kaminski@enron.com,,,CANNOT_DECIDE
Subject:,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
"Vince,",,,CANNOT_DECIDE
I agree with you,agree,Message-ID,STATIVE
that it's a lesson,'s,it,STATIVE
people need to learn over and over again.,need,people,STATIVE
I can't tell you,tell,I,DYNAMIC
how many politicians I met over the past year,met,tell,DYNAMIC
who really don't like markets,like,year,STATIVE
and certainly don't understand,understand,year,STATIVE
how or why they work.,work,they,STATIVE
"These aren't just the minor leaguers in Sacramento, but the big league players in Washington.",are,These,STATIVE
I also agree,agree,I,STATIVE
"that the academic community can play ""an important role in shaping public opinion and in explaining the logic of deregulation process.""",play,community,STATIVE
I'd like to think,like,I,STATIVE
that is in large part,is,,STATIVE
what I have been trying to do.,trying,I,DYNAMIC
Frank,,,CANNOT_DECIDE
