Clause,mainVerb,mainReferent,Gold
Message-ID: <6316972.1075852466973.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Thu, 16 Aug 2001 10:33:21 -0700 (PDT)",,,CANNOT_DECIDE
From: john.shelk@enron.com,,,CANNOT_DECIDE
"To: d..steffes@enron.com, sarah.novosel@enron.com, charles.yeung@enron.com",,,CANNOT_DECIDE
Subject: Deadline Today -- Draft Enron Comments on NERC Bill,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
Attached are suggested comments on the draft NERC bill,suggested,Content-Transfer-Encoding,STATIVE
for which we were asked to provide comments by today.,asked,we,DYNAMIC
You will see,see,You,DYNAMIC
"that the response is a firm, but polite -- no thanks.",is,response,STATIVE
While I doubt,doubt,I,STATIVE
NERC assumes,assumes,NERC,STATIVE
"that silence means support by their deadline today,",means,silence,STATIVE
I would like to get something to them by COB if at all possible.,like,I,STATIVE
(I will be on vacation tomorrow in any event).,be,I,STATIVE
"With apologies for the short turn around, please call or e-mail your comments or OK this afternoon.",call,,CANNOT_DECIDE
John,,,CANNOT_DECIDE
