Clause,mainVerb,mainReferent,Gold
Message-ID: <31386690.1075860837352.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Fri, 30 Nov 2001 07:48:06 -0800 (PST)",,,CANNOT_DECIDE
From: steven.alexander@us.artemisintl.com,,,CANNOT_DECIDE
"To: ken_lay@enron.net, kenneth_lay@enron.net",,,CANNOT_DECIDE
Subject: A Supportive Note,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
Dear Mr. Lay:,,,CANNOT_DECIDE
I'm writing this note to you as a show of support to you during your dire times.,writing,Message-ID,DYNAMIC
"The reason that I share this with you is my respect for you as a CEO, a business leader and a person.",is,reason,STATIVE
My wife is one of your employees,is,wife,STATIVE
who routinely shares stories about you,shares,one,DYNAMIC
that are nothing less than inspiring.,are,stories,STATIVE
I know,know,I,STATIVE
"that during difficult times, sometimes words emerge",emerge,words,DYNAMIC
that can help people through difficult times.,help,that,DYNAMIC
I believe,believe,I,STATIVE
that you are sincere man,are,you,STATIVE
and know that,know,man,STATIVE
"you must be broken hearted,",broken,you,STATIVE
but I hope,hope,I,STATIVE
that this article can help you lead a dispirted workforce to see things more clearly.,help,article,DYNAMIC
"My wife, Shelly Pierce, has worked for Enron for the past two years",worked,wife,DYNAMIC
"and like many of your employees, has lost a great deal of her life savings.",like,wife,DYNAMIC
"Of course, I accept most of the blame for this for reasons",accept,I,STATIVE
related to this article.,related,reasons,STATIVE
I lost my investment discipline,lost,I,DYNAMIC
and held out the false hope,held,I,STATIVE
that Enron could not falter.,falter,Enron,DYNAMIC
After reading the article to her,reading,I,DYNAMIC
"while I was out of town,",was,I,STATIVE
I believe,believe,I,STATIVE
that her spirit was a bit rejuvenated,was,spirit,STATIVE
and she was ready to face the challenges,was,she,STATIVE
that lay before you.,lay,challenges,STATIVE
"Mr. Lay,",,,CANNOT_DECIDE
I appreciate the opportunity,appreciate,I,STATIVE
that you have given my wife and our family,given,you,DYNAMIC
and hope,hope,Lay,STATIVE
that this story inspires you to regain your successes.,inspires,story,DYNAMIC
-----------------------------------------------,,,CANNOT_DECIDE
"From the USA Today, Tuesday, November 27, 2001, page 15A.",,,CANNOT_DECIDE
"""In recession, face brutal facts, thrive""",thrive,,CANNOT_DECIDE
By Jim Collins,,,CANNOT_DECIDE
"A man in his early 20s recently asked me,",asked,thrive,DYNAMIC
"""So what's a recession like?""",'s,what,CANNOT_DECIDE
Its an entirely alien concept to him; he'd grown up during the greatest economic boom in modern memory.,Its,,STATIVE
His question drove home the fact,drove,question,DYNAMIC
"that we haven't faced a severe, protracted economic setback for nearly 2 decades,",faced,we,DYNAMIC
leaving us terribly unpracticed at dealing with tough times.,leaving,question,STATIVE
"With this recession - long in coming, perhaps long to stay",coming,,CANNOT_DECIDE
"- now officially upon us, it is imperative",is,it,STATIVE
that corporate leaders relearn a key lesson about how great companies (and great people),relearn,leaders,STATIVE
deal with difficult times differently from how they deal with merely good ones.,deal,companies,DYNAMIC
"That lesson is the ""Stockdale Paradox,"" a peculiar psychology",is,psychology,STATIVE
shown by those,shown,psychology,DYNAMIC
"who emerge from tough times not just intact, but stronger.",emerge,those,DYNAMIC
Adm. Jim Stockdale was the highest-ranking U.S. military officer in the Hanoi prison camp during the Vietnam War.,was,Stockdale,STATIVE
"Tortured many times during his 8-year imprisonment, Stockdale lived without any prisoner's rights, no set release date and no certainty as to whether he would ever again see his family.",lived,Stockdale,STATIVE
He shouldered the burden of command,shouldered,He,STATIVE
while fighting an internal war against his captors and their attempts to use the prisoners for propaganda.,fighting,,DYNAMIC
"At one point, he beat himself with a stool",beat,he,DYNAMIC
"and cut himself with a razor,",cut,he,DYNAMIC
deliberately disfiguring himself,disfiguring,he,DYNAMIC
"so that he could not be put on video as an example of a ""well-treated prisoner.""",put,he,DYNAMIC
He exchanged secret intelligence information with his wife through their letters,exchanged,He,DYNAMIC
knowing,knowing,,STATIVE
that discovery would mean more torture and perhaps death.,mean,discovery,STATIVE
"After his release, Stockdale became the first three-star officer in the history of the Navy to wear both aviator wings and the Congressional Medal of Honor.",became,Stockdale,DYNAMIC
"You can understand, then, my anticipation at the prospect of spending part of an afternoon with Stockdale,",understand,You,STATIVE
who happened to be at the Hoover Institute across the street from my office,happened,Stockdale,STATIVE
when I taught at Stanford.,taught,I,DYNAMIC
"In preparation, I read In Love and War,",read,I,DYNAMIC
the book he and his wife wrote to chronicle their experiences those 8 years.,wrote,I,DYNAMIC
"As I read the book,",read,I,DYNAMIC
I found myself getting depressed.,found,I,DYNAMIC
"It just seemed so bleak - the uncertainty of his fate, the brutality of his captors.",seemed,It,STATIVE
