Clause,mainVerb,mainReferent,Gold
Message-ID: <16267978.1075861634185.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Thu, 15 Nov 2001 13:46:02 -0800 (PST)",,,CANNOT_DECIDE
From: jacton@crai.com,,,CANNOT_DECIDE
To: d..steffes@enron.com,,,CANNOT_DECIDE
Subject: Confidential for Dan Watkiss,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
Jim,,,CANNOT_DECIDE
If you are able to provide this to Dan for the meeting,are,Message-ID,STATIVE
I would appreciate it.,appreciate,I,STATIVE
He may not want to circulate it to the group.,want,He,STATIVE
It is intended as a work product for attorney.,is,It,STATIVE
This e-mail and the attachments were prepared at the request of counsel.,prepared,e-mail,DYNAMIC
<<NOTES FOR DISCUSSION.,,,CANNOT_DECIDE
doc>>,,,CANNOT_DECIDE
"Jan Paul Acton Vice President Charles River Associates 1201 F St., NW, Suite 700 Washington, DC 20004-1204 Voice: (202) 662 3902",,,CANNOT_DECIDE
Fax: (202) 662 3910,,,CANNOT_DECIDE
****************************************************************************,,,CANNOT_DECIDE
*****,*****,NOTES,CANNOT_DECIDE
"This electronic message contains information from the consulting firm of Charles River Associates Inc.,",contains,message,STATIVE
which may be confidential or privileged.,be,Inc.,STATIVE
The information is intended for the use of the individual or entity,intended,information,STATIVE
named above.,named,individual,STATIVE
"If you are not the intended recipient, be aware",be,,STATIVE
"that any disclosure, copying, distribution or use of the contents of this information is prohibited.",prohibited,distribution,STATIVE
"If you have received this electronic transmission in error, please notify us by telephone (617 425-3582) or by e-mail (postmaster@crai.com) immediately.",notify,please,DYNAMIC
****************************************************************************,,,CANNOT_DECIDE
*****,,,CANNOT_DECIDE
- NOTES FOR DISCUSSION.,,,CANNOT_DECIDE
doc,,,CANNOT_DECIDE
