Clause,mainVerb,mainReferent,Gold
"docno=""lists-003-2144868""",,,CANNOT_DECIDE
"received=""Tue May 18 20:20:31 1993 EST""",received,docno,CANNOT_DECIDE
"sent=""Wed, 19 May 1993 12:17:09 +0900",sent,,CANNOT_DECIDE
"(JST)""",,,CANNOT_DECIDE
"name=""Masataka Ohta""",,,CANNOT_DECIDE
"email=""mohta@necom830.cc.titech.ac.jp""",,,CANNOT_DECIDE
"subject=""Re: CHARSET considerations""",,,CANNOT_DECIDE
"id=""9305190317.AA01493@necom830.cc.titech.ac.jp""",,,CANNOT_DECIDE
"inreplyto=""01GYBXHRZVEA8Y5JAE@INNOSOFT.COM""",,,CANNOT_DECIDE
To: TROTH@ricevm1.rice.edu (Rick Troth),,,CANNOT_DECIDE
"Cc: scs@adam.mit.edu, pine-info@cac.washington.edu, ietf-charsets@INNOSOFT.COM,",,,CANNOT_DECIDE
I don't know,know,I,STATIVE
what pine is.,is,pine,STATIVE
"But, could you please discuss on pine specific features in pine ML only?",ML,,CANNOT_DECIDE
Masataka Ohta,,,CANNOT_DECIDE
