Clause,mainVerb,mainReferent,Gold
"Date: Sun, 15 Apr 2001 13:00:00 -0700 (PDT)",,,CANNOT_DECIDE
From: steven.kean@enron.com,,,CANNOT_DECIDE
To: maureen.mcvicker@enron.com,,,CANNOT_DECIDE
Subject: <<Concur Expense Document>> - March 2001 AMEX,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=us-ascii,,,CANNOT_DECIDE
Content-Transfer-Encoding: 7bit,,,CANNOT_DECIDE
X-From: Steven J Kean X-To: Maureen McVicker X-cc: X-bcc: X-Folder: \Steven_Kean_June2001_1\Notes Folders\All documents X-Origin:,,,CANNOT_DECIDE
KEAN-S X-FileName: skean.,,,CANNOT_DECIDE
nsf,,,CANNOT_DECIDE
---------------------- Forwarded by Steven J Kean/NA/Enron on 04/15/2001,,,DYNAMIC
07:59 PM ---------------------------,,,CANNOT_DECIDE
eserver@enron.com on 04/09/2001 02:41:04 PM,,,CANNOT_DECIDE
"To: ""Steven.J.Kean@enron.com"" <Steven.J.Kean@enron.com>",,,CANNOT_DECIDE
cc:,,,CANNOT_DECIDE
Subject: <<Concur Expense Document>> - March 2001 AMEX,,,CANNOT_DECIDE
The following expense report is ready for approval:,is,report,STATIVE
Employee Name: Mark A. Palmer Status last changed by: Automated Administrator Expense Report Name:,changed,Status,DYNAMIC
"March 2001 AMEX Report Total: $6,539.82 Amount Due Employee: $6,539.82",,,CANNOT_DECIDE
"To approve this expense report, click on the following link for Concur Expense.",click,Date,CANNOT_DECIDE
http://xms.enron.com,,,CANNOT_DECIDE
---------------------- Forwarded by Steven J Kean/NA/Enron on 04/15/2001,,,DYNAMIC
07:59 PM ---------------------------,,,CANNOT_DECIDE
eserver@enron.com on 04/10/2001 01:45:03 PM,,,CANNOT_DECIDE
"To: ""Steven.J.Kean@enron.com"" <Steven.J.Kean@enron.com>",,,CANNOT_DECIDE
cc:,,,CANNOT_DECIDE
Subject: <<Concur Expense Document>> - General Expenses,,,CANNOT_DECIDE
The following expense report is ready for approval:,is,report,STATIVE
Employee Name: John Hardy Jr Jr.,,,CANNOT_DECIDE
Status last changed by: Automated Administrator Expense Report Name:,changed,Status,DYNAMIC
"General Expenses Report Total: $2,240.10 Amount Due Employee: $2,240.10",,,CANNOT_DECIDE
"To approve this expense report, click on the following link for Concur Expense.",approve,,CANNOT_DECIDE
http://xms.enron.com,,,CANNOT_DECIDE
---------------------- Forwarded by Steven J Kean/NA/Enron on 04/15/2001,,,DYNAMIC
07:59 PM ---------------------------,,,CANNOT_DECIDE
eserver@enron.com on 04/13/2001 02:35:43 PM,PM,Forwarded,CANNOT_DECIDE
"To: ""Steven.J.Kean@enron.com"" <Steven.J.Kean@enron.com>",<Steven.J.Kean@enron.com>,Steven.J.Kean@enron.com,CANNOT_DECIDE
cc:,,,CANNOT_DECIDE
Subject: <<Concur Expense Document>> - JS3/31/01,,,CANNOT_DECIDE
The following expense report is ready for approval:,is,report,STATIVE
Employee Name: James Steffes Status last changed by: Automated Administrator Expense Report Name:,changed,Status,DYNAMIC
"JS3/31/01 Report Total: $2,796.30 Amount Due Employee: $2,796.30",,,CANNOT_DECIDE
"To approve this expense report, click on the following link for Concur Expense.",approve,cc,CANNOT_DECIDE
http://xms.enron.com,,,CANNOT_DECIDE
