Clause,mainVerb,mainReferent,Gold
"docno=""lists-003-2137010""",,,CANNOT_DECIDE
"received=""Tue May 18 18:52:44 1993 EST""",received,docno,CANNOT_DECIDE
"sent=""Tue, 18 May 1993 15:31:15 -0500 (CDT)""",sent,,CANNOT_DECIDE
"name=""Rick Troth""",,,CANNOT_DECIDE
"email=""TROTH@ricevm1.rice.edu""",,,CANNOT_DECIDE
"subject=""Re: CHARSET considerations""",,,CANNOT_DECIDE
"id=""01GYBXHRZVEA8Y5JAE@INNOSOFT.COM""",,,CANNOT_DECIDE
"inreplyto=""scs@adam.mit.edu""",=,inreplyto,CANNOT_DECIDE
"To: scs@adam.mit.edu, pine-info@cac.washington.edu, ietf-charsets@INNOSOFT.COM",,,CANNOT_DECIDE
Cc: dan@ees1a0.engr.ccny.cuny.edu,,,CANNOT_DECIDE
"On Fri, 14 May 93 17:29:24 -0400 Steve said: In <9305121752.AA00650@dimacs.rutgers.edu, Rick wrote:",said,14,DYNAMIC
Any user of Pine 3.05 (and as far as I can tell 3.07 or 2.,tell,far,DYNAMIC
x) can shoot themself in the foot,shoot,can,DYNAMIC
(head,,,CANNOT_DECIDE
if you prefer) by setting character-set = Zeldas_private_codepage.,prefer,you,STATIVE
"This is almost certainly a bad idea, ...",is,This,STATIVE
"Although I used this to defend my action of having used an illegitimate CHARSET,",used,I,DYNAMIC
I do NOT think,do,I,STATIVE
"that all ""user can shoot themself in the foot"" features are bad.",shoot,user,STATIVE
"Specifically, I feel (quite strongly) that the user should be able to specify any old charset",feel,I,STATIVE
and have display at least attempted at the other end.,attempted,user,DYNAMIC
"The long term solution is,",is,solution,STATIVE
"of course, to map between ""character sets"" (which the use should have control over) and ""charsets""",map,solution,STATIVE
(which the user should leave alone).,leave,charsets,DYNAMIC
My only request of Pine from all this noise is that Pine NOT LABEL messages of Content-Type: text/plain.,is,request,STATIVE
(this may be counter to RFC 1341; is it?),counter,this,STATIVE
Should the Pine developers remove this feature?,remove,developers,CANNOT_DECIDE
No.,,,CANNOT_DECIDE
charset is an octet-based encoding,is,charset,STATIVE
used during message transfer;,used,encoding,DYNAMIC
it need bear no relation to the composing or viewing character sets.,bear,it,STATIVE
Right.,,,CANNOT_DECIDE
I maintain,maintain,I,STATIVE
that CHARSET specification should be omitted when feasible.,omitted,specification,DYNAMIC
This is because there are such things as gateways,is,This,STATIVE
which translate the SMTP octet-stream into anything.,translate,gateways,DYNAMIC
There are two goals:,are,goals,STATIVE
1) to be able to specify new and/or extended character sets,be,2,CANNOT_DECIDE
"(and mark-ups and other extensions to plain text) and 2) to use ""plain text"" (in mail) as a transport medium.",use,,CANNOT_DECIDE
"For the former, use Base64 encoding",use,,CANNOT_DECIDE
when needed.,needed,,STATIVE
"For the latter, don't label the text ""ASCII"" or any other codepoint mapping",label,,CANNOT_DECIDE
if there's any way on earth,'s,label,STATIVE
that it might get translated by a gateway.,translated,way,DYNAMIC
I don't think,think,I,STATIVE
this is making sense,making,this,STATIVE
and I can't find the words.,find,I,DYNAMIC
Steve apparently has: charset -vs- character_set.,character_set,Steve,STATIVE
Plain text is defined differently from system to system.,defined,text,STATIVE
"On UNIX, plain text is ASCII",ASCII,text,STATIVE
(now ISO-8859-1) with lines delimited by NL (actually LF).,delimited,lines,STATIVE
"On NT, plain text is 16 bits wide",is,text,STATIVE
(so I hear).,hear,I,DYNAMIC
"That ain't ASCII,",ai,That,STATIVE
"though we could be the high-order 8 bits for much of plain text processing, and that's fine by me.",be,we,STATIVE
"(memory is cheap) On VM/CMS, plain text is EBCDIC",is,text,STATIVE
"(now CodePage 1047) and records are handled by the filesystem out-of-band of the data,",CodePage,EBCDIC,DYNAMIC
so NL (and LF and CR) aren't sacred characters.,are,NL,STATIVE
"Now ... ""mail is plain-text, not ASCII"".",is,ASCII,STATIVE
"In the most general case, a message will be composed using some native character set,",composed,message,DYNAMIC
"translated automatically to a MIME-registered charset,",translated,character,DYNAMIC
and translated at the other end into a native display character set.,translated,character,DYNAMIC
Right!,,,CANNOT_DECIDE
"99 times out of 100 you don't care,",care,you,STATIVE
