Clause,mainVerb,mainReferent,Gold
Message-ID: <18205244.1075856621671.JavaMail.evans@thyme>,,,CANNOT_DECIDE
"Date: Tue, 28 Nov 2000 02:59:00 -0800 (PST)",,,CANNOT_DECIDE
From: jmyan@stanford.edu,,,CANNOT_DECIDE
To: shirley.crenshaw@enron.com,,,CANNOT_DECIDE
Subject: Re: Telephone Interview with The Enron Corp.,,,CANNOT_DECIDE
Research Group,,,CANNOT_DECIDE
Cc: vince.j.kaminski@enron.com,,,CANNOT_DECIDE
Mime-Version: 1.0,,,CANNOT_DECIDE
Content-Type: text/plain; charset=ANSI_X3.4-1968,,,CANNOT_DECIDE
Content-Transfer-Encoding: quoted-printable,,,CANNOT_DECIDE
Bcc: vince.j.kaminski@enron.com,,,CANNOT_DECIDE
"Ms. Crenshaw,",,,CANNOT_DECIDE
Thank you very much for the message.,Thank,Cc,CANNOT_DECIDE
I am very interested in the opportunity to talk to personnel from the Research Group at Enron.,am,I,STATIVE
"Between the two days you suggest,",suggest,you,STATIVE
I prefer Wednesday 12/6.,prefer,I,STATIVE
"Considering the two-hour time difference between California and Texas,",Considering,,STATIVE
11:00 am Pacific time (1:00 pm your time) seems to be a good slot.,seems,time,STATIVE
"However, I am open most of the day on 12/6 so if some other time slot is prefered on your end, please let me know.",am,let,STATIVE
Thanks again.,Thanks,,CANNOT_DECIDE
I look forward to talking to you and your colleagues.,look,I,STATIVE
Jingming,Jingming,Jingming,CANNOT_DECIDE
"On Tue, 28 Nov 2000 Shirley.Crenshaw@enron.com wrote:",wrote,Shirley.Crenshaw@enron.com,DYNAMIC
Good afternoon Jingming:,,,CANNOT_DECIDE
"Professor Wolak forwarded your resume to the Research Group,",forwarded,Jingming,DYNAMIC
"and they would like to conduct a telephone interview with you, sometime next week, at your convenience.",like,Wolak,STATIVE
"The best days would be Tuesday, 12/5 or Wednesday, 12/6.",be,days,STATIVE
Please let me know,let,,CANNOT_DECIDE
which day and what time would be best,be,time,STATIVE
for you and they will call you.,call,they,DYNAMIC
Let me know the telephone number,Let,,CANNOT_DECIDE
that you wish to be contacted at.,wish,you,STATIVE
The interviewers would be:,be,interviewers,STATIVE
"Vince Kaminski Managing Director and Head of Research Vasant Shanbhogue Vice President, Research Lance Cunningham Manager, Research Alex Huang Manager, Research",,,CANNOT_DECIDE
Look forward to hearing from you.,Look,Head,STATIVE
"Best regards,",,,CANNOT_DECIDE
Shirley Crenshaw Administrative Coordinator Enron Research Group.,,,CANNOT_DECIDE
713-853-5290,,,CANNOT_DECIDE
---------------------------------------------------------,,,CANNOT_DECIDE
"Jingming ""Marshall"" Yan jmyan@leland.stanford.edu Department of Economics (650)497-4045 (H) Stanford University (650)725-8914 (O) Stanford, CA 94305 358C, Economics Bldg",jmyan@leland.stanford.edu,Yan,CANNOT_DECIDE
----------------------------------------------------------,----------------------------------------------------------,Bldg,CANNOT_DECIDE
If one seeks to act virtuously,seeks,one,STATIVE
"and attain it, then what is there to repine about?",attain,one,CANNOT_DECIDE
-- Confucius,,,CANNOT_DECIDE
